iter	Passed	Remaining
0	1	100
1	1	90
2	2	89
3	3	84
4	4	83
5	5	82
6	6	82
7	7	82
8	8	83
9	9	84
10	10	83
11	11	82
12	12	80
13	12	79
14	13	78
15	14	77
16	15	75
17	16	75
18	17	74
19	18	73
20	19	72
21	20	71
22	21	70
23	22	69
24	23	69
25	24	68
26	25	68
27	26	67
28	26	65
29	27	65
30	28	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	58
38	36	57
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	42	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	45
52	49	44
53	50	43
54	51	42
55	52	40
56	53	40
57	53	39
58	54	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	59	32
65	61	31
66	62	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	77	14
84	78	13
85	79	12
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
